impression_id,anonymous_id,item_id,position,retrieval_score,served_at,label
8037b37a-29bd-41d3-8a78-4181fa068a5f,anon_real_001,N31474,6,0.16666666666666666,2026-01-27 04:00:43.088909+00,0
8037b37a-29bd-41d3-8a78-4181fa068a5f,anon_real_001,N86479,7,0.14285714285714285,2026-01-27 04:00:43.088909+00,0
8037b37a-29bd-41d3-8a78-4181fa068a5f,anon_real_001,N58836,8,0.125,2026-01-27 04:00:43.088909+00,0
8037b37a-29bd-41d3-8a78-4181fa068a5f,anon_real_001,N84004,9,0.1111111111111111,2026-01-27 04:00:43.088909+00,0
8037b37a-29bd-41d3-8a78-4181fa068a5f,anon_real_001,N22139,10,0.1,2026-01-27 04:00:43.088909+00,0
1fd0e8c4-8c1c-4fd1-aa1d-96fd55519008,anon_real_001,N30706,1,1,2026-01-27 04:29:10.443042+00,0
1fd0e8c4-8c1c-4fd1-aa1d-96fd55519008,anon_real_001,N73498,2,0.5,2026-01-27 04:29:10.443042+00,0
1fd0e8c4-8c1c-4fd1-aa1d-96fd55519008,anon_real_001,N6371,3,0.3333333333333333,2026-01-27 04:29:10.443042+00,0
1fd0e8c4-8c1c-4fd1-aa1d-96fd55519008,anon_real_001,N22284,4,0.25,2026-01-27 04:29:10.443042+00,0
1fd0e8c4-8c1c-4fd1-aa1d-96fd55519008,anon_real_001,N57838,5,0.2,2026-01-27 04:29:10.443042+00,0
1fd0e8c4-8c1c-4fd1-aa1d-96fd55519008,anon_real_001,N89236,6,0.16666666666666666,2026-01-27 04:29:10.443042+00,0
1fd0e8c4-8c1c-4fd1-aa1d-96fd55519008,anon_real_001,N119358,7,0.14285714285714285,2026-01-27 04:29:10.443042+00,0
1fd0e8c4-8c1c-4fd1-aa1d-96fd55519008,anon_real_001,N38908,8,0.125,2026-01-27 04:29:10.443042+00,0
1fd0e8c4-8c1c-4fd1-aa1d-96fd55519008,anon_real_001,N110783,9,0.1111111111111111,2026-01-27 04:29:10.443042+00,0
1fd0e8c4-8c1c-4fd1-aa1d-96fd55519008,anon_real_001,N8082,10,0.1,2026-01-27 04:29:10.443042+00,0
79cc78c5-be82-4a0a-af95-f3c7f65026eb,anon_real_001,N30706,1,0.6729820966720581,2026-01-27 18:12:43.369746+00,0
79cc78c5-be82-4a0a-af95-f3c7f65026eb,anon_real_001,N73498,2,0.626507043838501,2026-01-27 18:12:43.369746+00,0
79cc78c5-be82-4a0a-af95-f3c7f65026eb,anon_real_001,N6371,3,0.6261518001556396,2026-01-27 18:12:43.369746+00,0
79cc78c5-be82-4a0a-af95-f3c7f65026eb,anon_real_001,N22284,4,0.618097722530365,2026-01-27 18:12:43.369746+00,0
79cc78c5-be82-4a0a-af95-f3c7f65026eb,anon_real_001,N57838,5,0.6178650856018066,2026-01-27 18:12:43.369746+00,0
79cc78c5-be82-4a0a-af95-f3c7f65026eb,anon_real_001,N89236,6,0.6150153875350952,2026-01-27 18:12:43.369746+00,0
79cc78c5-be82-4a0a-af95-f3c7f65026eb,anon_real_001,N119358,7,0.6086536645889282,2026-01-27 18:12:43.369746+00,0
79cc78c5-be82-4a0a-af95-f3c7f65026eb,anon_real_001,N38908,8,0.6063535213470459,2026-01-27 18:12:43.369746+00,0
79cc78c5-be82-4a0a-af95-f3c7f65026eb,anon_real_001,N110783,9,0.6016029715538025,2026-01-27 18:12:43.369746+00,0
79cc78c5-be82-4a0a-af95-f3c7f65026eb,anon_real_001,N8082,10,0.5949147939682007,2026-01-27 18:12:43.369746+00,0
11ca5111-5421-4e5f-b644-72e12f559da2,anon_real_001,N30706,1,0.6729820966720581,2026-01-27 18:17:12.872722+00,0
11ca5111-5421-4e5f-b644-72e12f559da2,anon_real_001,N73498,2,0.626507043838501,2026-01-27 18:17:12.872722+00,0
11ca5111-5421-4e5f-b644-72e12f559da2,anon_real_001,N6371,3,0.6261518001556396,2026-01-27 18:17:12.872722+00,0
11ca5111-5421-4e5f-b644-72e12f559da2,anon_real_001,N22284,4,0.618097722530365,2026-01-27 18:17:12.872722+00,0
11ca5111-5421-4e5f-b644-72e12f559da2,anon_real_001,N57838,5,0.6178650856018066,2026-01-27 18:17:12.872722+00,0
11ca5111-5421-4e5f-b644-72e12f559da2,anon_real_001,N89236,6,0.6150153875350952,2026-01-27 18:17:12.872722+00,0
11ca5111-5421-4e5f-b644-72e12f559da2,anon_real_001,N119358,7,0.6086536645889282,2026-01-27 18:17:12.872722+00,0
11ca5111-5421-4e5f-b644-72e12f559da2,anon_real_001,N38908,8,0.6063535213470459,2026-01-27 18:17:12.872722+00,0
11ca5111-5421-4e5f-b644-72e12f559da2,anon_real_001,N110783,9,0.6016029715538025,2026-01-27 18:17:12.872722+00,0
11ca5111-5421-4e5f-b644-72e12f559da2,anon_real_001,N8082,10,0.5949147939682007,2026-01-27 18:17:12.872722+00,0
4f14ef17-913a-4e32-9a28-1b815add39aa,anon_real_001,N30706,1,0.6729820966720581,2026-01-27 18:51:25.186108+00,0
4f14ef17-913a-4e32-9a28-1b815add39aa,anon_real_001,N73498,2,0.626507043838501,2026-01-27 18:51:25.186108+00,0
4f14ef17-913a-4e32-9a28-1b815add39aa,anon_real_001,N6371,3,0.6261518001556396,2026-01-27 18:51:25.186108+00,0
4f14ef17-913a-4e32-9a28-1b815add39aa,anon_real_001,N22284,4,0.618097722530365,2026-01-27 18:51:25.186108+00,0
4f14ef17-913a-4e32-9a28-1b815add39aa,anon_real_001,N57838,5,0.6178650856018066,2026-01-27 18:51:25.186108+00,0
4f14ef17-913a-4e32-9a28-1b815add39aa,anon_real_001,N89236,6,0.6150153875350952,2026-01-27 18:51:25.186108+00,0
4f14ef17-913a-4e32-9a28-1b815add39aa,anon_real_001,N119358,7,0.6086536645889282,2026-01-27 18:51:25.186108+00,0
4f14ef17-913a-4e32-9a28-1b815add39aa,anon_real_001,N38908,8,0.6063535213470459,2026-01-27 18:51:25.186108+00,0
4f14ef17-913a-4e32-9a28-1b815add39aa,anon_real_001,N110783,9,0.6016029715538025,2026-01-27 18:51:25.186108+00,0
4f14ef17-913a-4e32-9a28-1b815add39aa,anon_real_001,N8082,10,0.5949147939682007,2026-01-27 18:51:25.186108+00,0
